Close,Timestamp,Low,High,Open,TradedDate,Volume,SymbolKey,MA20,MA50,MACD,Confidence,Signal,MA200,MACDHist,MACDSignal,RSI14,ATR
1907.4,2025-10-21T13:57:31.365441,1902.3,1919.75,1909.05,2024-12-26,3623321,INFY,,,,,,,,,,
1916.75,2025-10-21T13:57:31.063445,1903.9,1924.15,1909.4,2024-12-27,3937500,INFY,,,,,,,,,,
1906,2025-10-21T13:57:30.449262,1886.5,1916,1915.7,2024-12-29,7789055,INFY,,,,,,,,,,
1906,2025-10-21T13:57:30.157778,1886.5,1916,1915.7,2024-12-30,7789055,INFY,,,,,,,,,,
1880,2025-10-21T13:57:29.850573,1845.05,1897,1892.3,2024-12-31,3613063,INFY,,,,,,,,,,
1882.5,2025-10-21T13:57:29.556645,1874,1892.95,1874,2025-01-01,1838368,INFY,,,,,,,,,,
1957.85,2025-10-21T13:57:29.248542,1885.3,1962.65,1887,2025-01-02,7083645,INFY,,,,,,,,,,
1938.75,2025-10-21T13:57:28.925920,1922,1952.95,1952.95,2025-01-03,6218003,INFY,,,,,,,,,,
1937.85,2025-10-21T13:57:28.345953,1928,1973,1952,2025-01-05,7164403,INFY,,,,,,,,,,
1937.85,2025-10-21T13:57:28.021855,1928,1973,1952,2025-01-06,7164403,INFY,,,,,,,,,,
1930.85,2025-10-21T13:57:27.725378,1923.65,1958.55,1945,2025-01-07,4294832,INFY,,,,,,,,,,
1933.15,2025-10-21T13:57:27.416442,1888.75,1938.6,1930,2025-01-08,5482050,INFY,,,,,,,,,,
1917.3,2025-10-21T13:57:27.116288,1910.55,1951.85,1934.05,2025-01-09,6833503,INFY,,,,,,,,,,
1966.95,2025-10-21T13:57:26.819950,1932.25,1977.8,1937,2025-01-10,8036913,INFY,,,,,,,,,,
1962.2,2025-10-21T13:57:26.220238,1949,1982.8,1956,2025-01-12,5804152,INFY,,,,,,,,,,
1962.2,2025-10-21T13:57:25.928890,1949,1982.8,1956,2025-01-13,5804152,INFY,,,,,,,,,,
1940.05,2025-10-21T13:57:25.636672,1931.1,1971.8,1968.85,2025-01-14,5792162,INFY,,,,,,,,,,
1949.65,2025-10-21T13:57:25.333220,1937.1,1958.05,1947,2025-01-15,2985439,INFY,,,,,,,,,,
1928.45,2025-10-21T13:57:25.036628,1916.85,1966.95,1965.95,2025-01-16,7533579,INFY,,,,,,,,,,
1815.45,2025-10-21T13:57:24.746839,1812,1858,1851,2025-01-17,16409953,INFY,,,,,,,,,,
1813.3,2025-10-21T13:57:24.166757,1793.15,1827.95,1822.95,2025-01-19,4333011,INFY,,,,,,,,,,
1813.3,2025-10-21T13:57:23.878682,1793.15,1827.95,1822.95,2025-01-20,4333011,INFY,,,,,,,,,,
1800.7,2025-10-21T13:57:23.586447,1793.05,1831.65,1819.05,2025-01-21,7169109,INFY,,,,,,,,,,
1856.45,2025-10-21T13:57:23.255571,1805.15,1865.8,1807.4,2025-01-22,8373913,INFY,,,,,,,,,,
1865.45,2025-10-21T13:57:22.935448,1852.7,1879.55,1858,2025-01-23,5907471,INFY,,,,,,,,,,
1875.45,2025-10-21T13:57:22.608399,1864.25,1894.9,1865.5,2025-01-24,4887027,INFY,,,,,,,,,,
1822,2025-10-21T13:57:21.983295,1812,1863,1848.75,2025-01-26,7652371,INFY,,,,,,,,,,
1822,2025-10-21T13:57:21.680414,1812,1863,1848.75,2025-01-27,7652371,INFY,,,,,,,,,,
1829.75,2025-10-21T13:57:21.375483,1824.9,1863.5,1830,2025-01-28,6999495,INFY,,,,,,,,,,
1881.25,2025-10-21T13:57:21.084628,1840.5,1888.65,1845,2025-01-29,5145155,INFY,,,,,,,,,,
1859.95,2025-10-21T13:57:20.777283,1844,1887.2,1873.15,2025-01-30,7336056,INFY,,,,,,,,,,
1879.8,2025-10-21T13:57:20.463297,1871,1897.45,1871,2025-01-31,5820470,INFY,,,,,,,,,,
1851.35,2025-10-21T13:57:20.155289,1846,1890.6,1880.3,2025-02-01,1701402,INFY,,,,,,,,,,
1863.3,2025-10-21T13:57:19.857008,1832.4,1876.55,1836,2025-02-02,4823228,INFY,,,,,,,,,,
1863.3,2025-10-21T13:57:19.527178,1832.4,1876.55,1836,2025-02-03,4823228,INFY,,,,,,,,,,
1898.8,2025-10-21T13:57:19.218815,1875,1911.2,1889,2025-02-04,7334787,INFY,,,,,,,,,,
1897.05,2025-10-21T13:57:18.921985,1894.3,1919.7,1906,2025-02-05,4996744,INFY,,,,,,,,,,
1915.65,2025-10-21T13:57:18.614137,1900,1924,1917,2025-02-06,4765255,INFY,,,,,,,,,,
1903.65,2025-10-21T13:57:18.306359,1889.45,1923.7,1919.3,2025-02-07,4126260,INFY,,,,,,,,,,
1880.3,2025-10-21T13:57:17.720735,1878.6,1905,1905,2025-02-09,3828734,INFY,,,,,,,,,,
1880.3,2025-10-21T13:57:17.411218,1878.6,1905,1905,2025-02-10,3828734,INFY,,,,,,,,,,
1875.65,2025-10-21T13:57:17.108602,1870,1903,1883.1,2025-02-11,4411601,INFY,,,,,,,,,,
1863.15,2025-10-21T13:57:16.800530,1847,1894.6,1885,2025-02-12,5633947,INFY,,,,,,,,,,
1843.25,2025-10-21T13:57:16.503529,1835.65,1873.5,1868.5,2025-02-13,5237744,INFY,,,,,,,,,,
1856.4,2025-10-21T13:57:16.198674,1828.35,1859.3,1854,2025-02-14,5292961,INFY,,,,,,,,,,
1842.3,2025-10-21T13:57:15.609297,1822.15,1852.75,1838.55,2025-02-16,4428956,INFY,,,,,,,,,,
1842.3,2025-10-21T13:57:15.311805,1822.15,1852.75,1838.55,2025-02-17,4428956,INFY,,,,,,,,,,
1851.95,2025-10-21T13:57:15.019918,1837.6,1861.65,1842.3,2025-02-18,4365260,INFY,,,,,,,,,,
1810.8,2025-10-21T13:57:14.724571,1805.9,1849.2,1847.4,2025-02-19,4611411,INFY,,,,,,,,,,
1825.15,2025-10-21T13:57:14.416888,1805.55,1831,1805.55,2025-02-20,2218020,INFY,,,,,,,,,,
1815,2025-10-21T13:57:14.076313,1806.2,1829.85,1821.8,2025-02-21,3379879,INFY,,,,,,,,,,
1764.1,2025-10-21T13:57:13.442718,1750.25,1808,1800.05,2025-02-23,7594720,INFY,,,,,,,,,,
1764.1,2025-10-21T13:57:13.147229,1750.25,1808,1800.05,2025-02-24,7594720,INFY,,,,,,,,,,
1767.7,2025-10-21T13:57:12.854221,1745.15,1778.45,1745.15,2025-02-25,5092963,INFY,,,,,,,,,,
1764.3,2025-10-21T13:57:12.544518,1751.1,1775.85,1755.2,2025-02-26,5757079,INFY,,,,,,,,,,
1764.3,2025-10-21T13:57:12.238213,1751.1,1775.85,1755.2,2025-02-27,5757079,INFY,,,,,,,,,,
1687.7,2025-10-21T13:57:11.918650,1682.45,1755.1,1755.05,2025-02-28,12182167,INFY,,,,,,,,,,
1708.6,2025-10-21T13:57:11.320248,1692.3,1728.6,1692.3,2025-03-02,7504969,INFY,,,,,,,,,,
1708.6,2025-10-21T13:57:11.034301,1692.3,1728.6,1692.3,2025-03-03,7504969,INFY,,,,,,,,,,
1688.3,2025-10-21T13:57:10.709351,1670,1699,1695,2025-03-04,6759673,INFY,,,,,,,,,,
1711.5,2025-10-21T13:57:10.387052,1692.45,1732.95,1692.45,2025-03-05,8180782,INFY,,,,,,,,,,
1715.85,2025-10-21T13:57:10.072231,1691.1,1722.3,1715,2025-03-06,10610547,INFY,,,,,,,,,,
1686,2025-10-21T13:57:09.764167,1675.5,1705,1703.1,2025-03-07,8019331,INFY,,,,,,,,,,
1701.45,2025-10-21T13:57:09.134974,1676.2,1719,1686,2025-03-09,7558981,INFY,,,,,,,,,,
1701.45,2025-10-21T13:57:08.820190,1676.2,1719,1686,2025-03-10,7558981,INFY,,,,,,,,,,
1661.6,2025-10-21T13:57:08.522842,1637.05,1680,1680,2025-03-11,12671234,INFY,,,,,,,,,,
1590.85,2025-10-21T13:57:08.235353,1563.8,1636.9,1636.9,2025-03-12,14870008,INFY,,,,,,,,,,
1579.85,2025-10-21T13:57:07.929794,1570.3,1606.05,1599.25,2025-03-13,7822888,INFY,,,,,,,,,,
1590.05,2025-10-21T13:57:07.021186,1545.15,1594,1545.15,2025-03-16,7526032,INFY,,,,,,,,,,
1590.05,2025-10-21T13:57:06.721376,1545.15,1594,1545.15,2025-03-17,7526032,INFY,,,,,,,,,,
1609.35,2025-10-21T13:57:06.381495,1582.35,1612.9,1597.65,2025-03-18,6298054,INFY,,,,,,,,,,
1586.55,2025-10-21T13:57:06.067729,1572.8,1603,1603,2025-03-19,7387068,INFY,,,,,,,,,,
1615.55,2025-10-21T13:57:05.761478,1592,1631.9,1592,2025-03-20,7186750,INFY,,,,,,,,,,
1592.55,2025-10-21T13:57:05.459967,1563.65,1603.9,1577.95,2025-03-21,10074677,INFY,,,,,,,,,,
1592.75,2025-10-21T13:57:04.871115,1572.7,1607.1,1597.95,2025-03-23,8857726,INFY,,,,,,,,,,
1592.75,2025-10-21T13:57:04.568104,1572.7,1607.1,1597.95,2025-03-24,8857726,INFY,,,,,,,,,,
1628.45,2025-10-21T13:57:04.273784,1605,1636.15,1605,2025-03-25,9890140,INFY,,,,,,,,,,
1599.45,2025-10-21T13:57:03.961590,1595,1637.75,1626,2025-03-26,6651302,INFY,,,,,,,,,,
1603.55,2025-10-21T13:57:03.643544,1586,1619.95,1595.55,2025-03-27,9426573,INFY,,,,,,,,,,
1570.65,2025-10-21T13:57:03.321112,1560,1598.45,1590,2025-03-28,6799047,INFY,,,,,,,,,,
1526.5,2025-10-21T13:57:02.457340,1517.85,1547.4,1539.25,2025-03-31,12680733,INFY,,,,,,,,,,
1526.5,2025-10-21T13:57:02.179038,1517.85,1547.4,1539.25,2025-04-01,12680733,INFY,,,,,,,,,,
1550.15,2025-10-21T13:57:01.878092,1535.2,1555.65,1535.2,2025-04-02,6193478,INFY,,,,,,,,,,
1496.5,2025-10-21T13:57:01.574293,1485.05,1534.65,1534.65,2025-04-03,10459504,INFY,,,,,,,,,,
1451.65,2025-10-21T13:57:01.282513,1448,1472,1460.5,2025-04-04,9590254,INFY,,,,,,,,,,
1396.75,2025-10-21T15:27:38.179548,1307,1405.9,1352,2025-04-06,21715252,INFY,1470.49,1485.23,-4.65,MEDIUM,SELL,1537.81,-1.41,-3.24,48.99,27.21
1396.75,2025-10-21T15:27:37.879281,1307,1405.9,1352,2025-04-07,21715252,INFY,1470.49,1485.23,-4.65,MEDIUM,SELL,1537.81,-1.41,-3.24,48.99,27.21
1428.8,2025-10-21T15:27:37.567415,1415,1456.5,1431,2025-04-08,12805001,INFY,1470.49,1485.23,-4.65,MEDIUM,SELL,1537.81,-1.41,-3.24,48.99,27.21
1403.7,2025-10-21T15:27:37.246469,1381.9,1409.45,1405.05,2025-04-09,8546854,INFY,1470.49,1485.23,-4.65,MEDIUM,SELL,1537.81,-1.41,-3.24,48.99,27.21
1409.45,2025-10-21T15:27:36.903476,1397.05,1438.8,1411.25,2025-04-10,12567440,INFY,1470.49,1485.23,-4.65,MEDIUM,SELL,1537.81,-1.41,-3.24,48.99,27.21
1409.45,2025-10-21T15:27:36.602191,1397.05,1438.8,1411.25,2025-04-11,12567440,INFY,1470.49,1485.23,-4.65,MEDIUM,SELL,1537.81,-1.41,-3.24,48.99,27.21
